"統計名：","人口推計 各月1日現在人口 概算値"
"表番号：","001"
"表題：","[概算値] 年齢（５歳階級），男女，月別人口－総人口（各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","","","","","","","","","","","","","/男女別 コード","000","001","002"
"","","","","","","","","","","","","","","","","","","/男女別 補助コード","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","人口 コード","人口 補助コード","人口","概算値 コード","概算値 補助コード","概算値","全国 コード","全国 補助コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在） 補助コード","時間軸（年月日現在）","年齢5歳階級 コード","年齢5歳階級 補助コード","年齢5歳階級","/男女別","男女計","男","女"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01017","","80～84歳","","563","234","329"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01018","","85～89歳","","388","139","249"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01019","","90～94歳","","192","54","138"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01020","","95～99歳","","55","11","44"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01021","","100歳以上","","9","1","8"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","02000","","（再掲）15歳未満","","1,472","754","718"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01023","","（再掲）15～64歳","","7,449","3,771","3,677"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01024","","（再掲）65歳以上","","3,622","1,572","2,050"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01026","","（再掲）うち75歳以上","","1,879","739","1,140"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000101","","2022年1月","01027","","（再掲）うち85歳以上","","643","205","438"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01000","","総数","","12,534","6,094","6,441"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01001","","0～4歳","","435","222","212"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01002","","5～9歳","","501","257","244"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01003","","10～14歳","","534","274","260"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01004","","15～19歳","","559","287","272"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01005","","20～24歳","","626","321","305"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01006","","25～29歳","","639","328","311"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01007","","30～34歳","","652","333","319"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01008","","35～39歳","","732","372","360"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01009","","40～44歳","","810","411","399"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01010","","45～49歳","","964","488","476"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01011","","50～54歳","","936","471","465"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01012","","55～59歳","","784","391","392"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01013","","60～64歳","","738","365","373"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01014","","65～69歳","","775","377","398"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01015","","70～74歳","","960","453","507"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01016","","75～79歳","","675","301","373"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01017","","80～84歳","","566","235","331"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01018","","85～89歳","","391","141","250"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01019","","90～94歳","","193","54","139"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01020","","95～99歳","","56","11","45"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01021","","100歳以上","","9","1","8"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","02000","","（再掲）15歳未満","","1,469","753","717"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01023","","（再掲）15～64歳","","7,440","3,768","3,673"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01024","","（再掲）65歳以上","","3,625","1,573","2,051"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01026","","（再掲）うち75歳以上","","1,889","744","1,146"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000202","","2022年2月","01027","","（再掲）うち85歳以上","","649","207","442"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01000","","総数","","12,526","6,090","6,437"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01001","","0～4歳","","433","221","211"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01002","","5～9歳","","500","256","244"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01003","","10～14歳","","534","274","260"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01004","","15～19歳","","557","286","271"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01005","","20～24歳","","626","321","305"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01006","","25～29歳","","639","328","311"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01007","","30～34歳","","651","333","318"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01008","","35～39歳","","730","371","359"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000303","","2022年3月","01009","","40～44歳","","808","410","399"
